n2000code:text	name:text	authority:text	eunisurl:url
1001	Corallium rubrum	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/98
1002	Discula tabellata	(Lowe, 1852)	http://eunis.eea.europa.eu/species/112
1003	Discula testudinalis	(Pfeiffer, 1853)	http://eunis.eea.europa.eu/species/113
1004	Discula leacockiana	(Wollaston, 1878)	http://eunis.eea.europa.eu/species/111
1005	Discula turricula	(Lowe, 1831)	http://eunis.eea.europa.eu/species/114
1006	Geomitra moniziana	(Paiva, 1867)	http://eunis.eea.europa.eu/species/148
1007	Elona quimperiana	(Férussac, 1821)	http://eunis.eea.europa.eu/species/122
1008	Centrostephanus longispinus	(Philippi, 1845)	http://eunis.eea.europa.eu/species/68
1009	Caseolus sphaerula	(Lowe, 1852)	http://eunis.eea.europa.eu/species/66
1010	Caseolus commixta	(Lowe, 1854)	http://eunis.eea.europa.eu/species/64
1011	Caseolus calculus	(Lowe, 1854)	http://eunis.eea.europa.eu/species/63
1012	Patella ferruginea	Gmelin, 1791	http://eunis.eea.europa.eu/species/286
1013	Vertigo geyeri	Lindholm, 1925	http://eunis.eea.europa.eu/species/372
1014	Vertigo angustior	Jeffreys, 1830	http://eunis.eea.europa.eu/species/367
1015	Vertigo genesii	(Gredler, 1856)	http://eunis.eea.europa.eu/species/370
1016	Vertigo moulinsiana	(Dupuy, 1849)	http://eunis.eea.europa.eu/species/373
1017	Leiostyla abbreviata	(Lowe, 1852)	http://eunis.eea.europa.eu/species/198
1018	Leiostyla cassida	(Lowe, 1831)	http://eunis.eea.europa.eu/species/199
1019	Leiostyla corneocostata	(Wollaston, 1878)	http://eunis.eea.europa.eu/species/200
1020	Leiostyla gibba	Lowe, 1852	http://eunis.eea.europa.eu/species/201
1021	Leiostyla lamellosa	(Lowe, 1852)	http://eunis.eea.europa.eu/species/202
1022	Discus defloratus	(Lowe, 1854)	http://eunis.eea.europa.eu/species/115
1023	Discus guerinianus	Lowe, 1852	http://eunis.eea.europa.eu/species/116
1024	Geomalacus maculosus	Allman, 1843	http://eunis.eea.europa.eu/species/147
1025	Idiomela subplicata	(Sowerby, 1824)	http://eunis.eea.europa.eu/species/195
1026	Helix pomatia	Linnaeus, 1758	http://eunis.eea.europa.eu/species/174
1027	Lithophaga lithophaga	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/217
1028	Pinna nobilis	Linnaeus, 1758	http://eunis.eea.europa.eu/species/291
1029	Margaritifera margaritifera	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/245
1030	Margaritifera auricularia	(Spengler, 1793)	http://eunis.eea.europa.eu/species/242
1031	Microcondylaea compressa	(Menke, 1830)	http://eunis.eea.europa.eu/species/257
1032	Unio crassus	Phillipsson, 1788	http://eunis.eea.europa.eu/species/361
1033	Unio elongatulus	(Pfeiffer, 1825)	http://eunis.eea.europa.eu/species/362
1034	Hirudo medicinalis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/185
1035	Leucorrhinia caudalis	(Charpentier, 1840)	http://eunis.eea.europa.eu/species/206
1036	Macromia splendens	(Pictet, 1843)	http://eunis.eea.europa.eu/species/229
1037	Ophiogomphus cecilia	(Fourcroy, 1785)	http://eunis.eea.europa.eu/species/265
1038	Leucorrhinia albifrons	(Burmeister, 1839)	http://eunis.eea.europa.eu/species/205
1039	Sympecma braueri	(Bianchi, 1904)	http://eunis.eea.europa.eu/species/351
1040	Stylurus flavipes	(Charpentier, 1825)	http://eunis.eea.europa.eu/species/345
1041	Oxygastra curtisii	(Dale, 1832)	http://eunis.eea.europa.eu/species/271
1042	Leucorrhinia pectoralis	(Charpentier, 1825)	http://eunis.eea.europa.eu/species/207
1043	Lindenia tetraphylla	(Van der Linden, 1825)	http://eunis.eea.europa.eu/species/215
1044	Coenagrion mercuriale	(Charpentier, 1840)	http://eunis.eea.europa.eu/species/93
1045	Coenagrion hylas	(Trybom, 1889)	http://eunis.eea.europa.eu/species/91
1046	Gomphus graslinii	Rambur, 1842	http://eunis.eea.europa.eu/species/155
1047	Cordulegaster trinacriae	Waterson, 1976	http://eunis.eea.europa.eu/species/102
1048	Aeshna viridis	(Eversmann, 1836)	http://eunis.eea.europa.eu/species/8
1049	Baetica ustulata	(Rambur, 1838)	http://eunis.eea.europa.eu/species/45
1050	Saga pedo	(Pallas, 1771)	http://eunis.eea.europa.eu/species/317
1051	Apteromantis aptera	(Fuente, 1893)	http://eunis.eea.europa.eu/species/35
1052	Hypodryas maturna	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/193
1053	Zerynthia polyxena	Schiffemüller, 1775	http://eunis.eea.europa.eu/species/380
1054	Papilio alexanor	Esper, 1799	http://eunis.eea.europa.eu/species/274
1055	Papilio hospiton	Géné, 1839	http://eunis.eea.europa.eu/species/278
1056	Parnassius mnemosyne	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/285
1057	Parnassius apollo	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/284
1058	Maculinea arion	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/235
1059	Maculinea teleius	(Bergstrasser, 1779)	http://eunis.eea.europa.eu/species/238
1060	Lycaena dispar	Haworth, 1803	http://eunis.eea.europa.eu/species/223
1061	Maculinea nausithous	(Bergsträsser, 1779)	http://eunis.eea.europa.eu/species/237
1062	Melanargia arge	Sulzer, 1776	http://eunis.eea.europa.eu/species/248
1063	Plebicula golgus	(Hübner, 1819)	http://eunis.eea.europa.eu/species/301
1064	Fabriciana niobe elisa	Godart, 1823	http://eunis.eea.europa.eu/species/143
1065	Euphydryas aurinia	(Rottemburg, 1775)	http://eunis.eea.europa.eu/species/134
1066	Apatura metis	(Freyer, 1829)	http://eunis.eea.europa.eu/species/32
1067	Lopinga achine	Linnaeus, 1763	http://eunis.eea.europa.eu/species/218
1069	Erebia sudetica	Staudinger, 1861	http://eunis.eea.europa.eu/species/128
1070	Coenonympha hero	(Linnaeus, 1761)	http://eunis.eea.europa.eu/species/94
1071	Coenonympha oedippus	(Fabricius, 1787)	http://eunis.eea.europa.eu/species/95
1072	Erebia calcaria	(Lorkovic, 1953)	http://eunis.eea.europa.eu/species/123
1073	Erebia christi	Rätzer, 1890	http://eunis.eea.europa.eu/species/125
1074	Eriogaster catax	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/130
1075	Graellsia isabellae	(Graëlls, 1849)	http://eunis.eea.europa.eu/species/16141
1076	Proserpinus proserpina	(Pallas, 1772)	http://eunis.eea.europa.eu/species/305
1077	Hyles hippophaes	Esper, 1779	http://eunis.eea.europa.eu/species/191
1078	Callimorpha quadripunctaria	Poda, 1761	http://eunis.eea.europa.eu/species/54
1079	Limoniscus violaceus	(Müller, 1821)	http://eunis.eea.europa.eu/species/212
1080	Carabus olympiae	Sella, 1855	http://eunis.eea.europa.eu/species/61
1081	Dytiscus latissimus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/121
1082	Graphoderus bilineatus	(de Geer, 1774)	http://eunis.eea.europa.eu/species/160
1083	Lucanus cervus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/221
1084	Osmoderma eremita	(Scopoli, 1763)	http://eunis.eea.europa.eu/species/268
1085	Buprestis splendens	Fabricius, 1775	http://eunis.eea.europa.eu/species/51
1086	Cucujus cinnaberinus	(Scopoli, 1774)	http://eunis.eea.europa.eu/species/106
1087	Rosalia alpina	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/313
1088	Cerambyx cerdo	Linnaeus, 1758	http://eunis.eea.europa.eu/species/69
1089	Morimus funereus	Mulsant, 1863	http://eunis.eea.europa.eu/species/258
1090	Scyllarides latus	(Latreille, 1803)	http://eunis.eea.europa.eu/species/327
1091	Astacus astacus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/40
1092	Austropotamobius pallipes	(Lereboullet, 1858)	http://eunis.eea.europa.eu/species/43
1093	Austropotamobius torrentium	(Schrank, 1803)	http://eunis.eea.europa.eu/species/44
1094	Macrothele calpeiana	(Walckenaer, 1805)	http://eunis.eea.europa.eu/species/232
1095	Petromyzon marinus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/569
1096	Lampetra planeri	(Bloch, 1784)	http://eunis.eea.europa.eu/species/523
1097	Lethenteron zanandreai	(Vladykov, 1955)	http://eunis.eea.europa.eu/species/530
1098	Eudontomyzon spp.		http://eunis.eea.europa.eu/species/316147
1099	Lampetra fluviatilis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/520
1100	Acipenser naccarii	Bonaparte, 1836	http://eunis.eea.europa.eu/species/394
1101	Acipenser sturio	Linnaeus, 1758	http://eunis.eea.europa.eu/species/397
1102	Alosa alosa	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/405
1103	Alosa fallax	(Lacepède, 1803)	http://eunis.eea.europa.eu/species/409
1104	Coregonus tugun	(Pallas, 1776)	http://eunis.eea.europa.eu/species/485
1105	Hucho hucho	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/514
1106	Salmo salar	Linnaeus, 1758	http://eunis.eea.europa.eu/species/608
1107	Salmo marmoratus	Cuvier, 1829	http://eunis.eea.europa.eu/species/606
1108	Salmo macrostigma	Duméril, 1858	http://eunis.eea.europa.eu/species/604
1109	Thymallus thymallus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/619
1110	Coregonus fera	Jurine, 1825	http://eunis.eea.europa.eu/species/480
1111	Coregonus nasus	(Pallas, 1776)	http://eunis.eea.europa.eu/species/483
1113	Coregonus oxyrhynchus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/15481
1114	Rutilus pigus	(Lacepède, 1803)	http://eunis.eea.europa.eu/species/591
1115	Chondrostoma genei	Bonaparte, 1839	http://eunis.eea.europa.eu/species/451
1116	Chondrostoma polylepis	Steindachner, 1865	http://eunis.eea.europa.eu/species/455
1117	Ladigesocypris ghigii	(Gianferrari, 1927)	http://eunis.eea.europa.eu/species/519
